"Index","Job_Title","Location","Company_Name","Salary","Job_Type","Date_Posted","Education_Level","Company_Size","Classification","Ratings"
1,"Mechanical Integrity Engineer","Kuala Lumpur","ExxonMobil Malaysia","NA","Full time","2023-11-23","c(""degree"", ""master"")","1,001-5,000 employees","Mining, Resources & Energy","4.3"
2,"Internship for Logistics, Transports and Business Students (Subang Jaya)","Subang Jaya, Selangor","DHL Global Forwarding (Malaysia) Sdn Bhd","900","Full time","2023-11-23","c(""diploma"", ""degree"")","101-1,000 employees","Manufacturing, Transport & Logistics","4.2"
3,"Internship for Logistics, Transports and Business Students (Iskandar Puteri)","Iskandar Puteri, Johor","DHL Global Forwarding (Malaysia) Sdn Bhd","900","Full time","2023-11-23","c(""diploma"", ""degree"")","101-1,000 employees","Manufacturing, Transport & Logistics","4.2"
4,"Internship for Logistics, Transports and Business Students (Penang)","Bayan Lepas, Penang","DHL Global Forwarding (Malaysia) Sdn Bhd","900","Full time","2023-11-23","c(""diploma"", ""degree"")","101-1,000 employees","Manufacturing, Transport & Logistics","4.2"
5,"Customer Service Executive","Petaling Jaya, Selangor","BLOOMTHIS FLORA SDN. BHD.","3500","Full time","2023-11-23","Not Specified","Not Specified","Call Centre & Customer Service","NA"
6,"Senior Manufacturing Process Engineer","Kuala Lumpur","ExxonMobil Malaysia","NA","Full time","2023-11-23","degree","1,001-5,000 employees","Engineering","4.3"
7,"Logistic Executive / Assistant","Selangor","Best Eternity Recycle Technology Sdn Bhd","NA","Full time","2023-11-23","c(""diploma"", ""degree"")","1,001-5,000 employees","Manufacturing, Transport & Logistics","3.1"
8,"Admin","Kuala Lumpur","YKH HOLDINGS SDN. BHD.","2000","Full time","2023-11-23","diploma","Not Specified","Administration & Office Support","NA"
9,"CS Executive","Shah Alam","BEST GLOBAL LOGISTICS TECHNOLOGY (MALAYSIA) SDN BHD","3500","Full time","2023-11-23","diploma","Not Specified","Call Centre & Customer Service","NA"
10,"Admin and Operation Assistant","Johor Bahru, Johor","Top Speed Transport Sdn Bhd","2850","Full time","2023-11-22","c(""diploma"", ""advanced/higher/graduate diploma"")","Not Specified","Administration & Office Support","NA"
11,"Finance Executive (Open to fresh graduates)","Bangsar South, Kuala Lumpur","AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD","3400","Full time","2023-11-23","c(""diploma"", ""degree"")","Not Specified","Accounting","NA"
12,"Admin Executive cum HR","Petaling Jaya, Selangor","Sterling Profile Sdn Bhd","3600","Full time","2023-11-23","diploma","Not Specified","Administration & Office Support","NA"
13,"Advanced Manufacturing Process Engineer (Chemicals)","Kuala Lumpur","ExxonMobil Malaysia","NA","Full time","2023-11-23","degree","1,001-5,000 employees","Engineering","4.3"
14,"Finance Admin / Accounts Admin","Kuala Lumpur","ICONIX","2500","Full time","2023-11-23","diploma","Not Specified","Accounting","NA"
15,"Customer Service Executive","Johor Bahru, Johor","MumsMe Sdn Bhd","3350","Full time","2023-11-23","Not Specified","51-100 employees","Call Centre & Customer Service","4.6"
16,"Procurement Executive (Operations)","Kapar, Selangor","NS BlueScope Malaysia Sdn Bhd","NA","Full time","2023-11-23","c(""diploma"", ""degree"")","101-1,000 employees","Manufacturing, Transport & Logistics","3.3"
17,"Account Admin","Johor Bahru, Johor","One Union Group SDN BHD","2400","Full time","2023-11-23","degree","Not Specified","Accounting","NA"
18,"Advanced Manufacturing Process Engineer (Refining)","Kuala Lumpur","ExxonMobil Malaysia","NA","Full time","2023-11-23","degree","1,001-5,000 employees","Engineering","4.3"
19,"Business Development Officer","Sungai Petani, Kedah","SMT Technologies Sdn Bhd","NA","Full time","2023-11-23","c(""diploma"", ""degree"")","1,001-5,000 employees","Sales","3.7"
20,"Personal Assistant cum Secretary Admin","Selangor","LAGENDA PROPERTIES BERHAD","3333.5","Full time","2023-11-23","c(""diploma"", ""advanced/higher/graduate diploma"", ""degree"")","101-1,000 employees","Administration & Office Support","3.6"
21,"Assistant Engineer","Selangor","Armstrong Technology Sdn Bhd","3360","Full time","2023-11-23","Not Specified","101-1,000 employees","Engineering","3.5"
22,"Warehouse Supervisor, Sortation Centre - SPX Xpress (Pulau Indah, Klang)","Pulau Indah, Selangor","Shopee Mobile Malaysia Sdn Bhd","NA","Full time","2023-11-22","c(""diploma"", ""degree"")","101-1,000 employees","Manufacturing, Transport & Logistics","4.0"
23,"Accounts Executive / Senior Executive","Johor Bahru, Johor","Grownce Sdn Bhd","5000","Full time","2023-11-23","c(""diploma"", ""degree"")","51-100 employees","Accounting","3.7"
24,"Account Assistant cum Admin","Kuala Lumpur","YDE Marketing Sdn Bhd","3000","Full time","2023-11-23","Not Specified","Not Specified","Accounting","NA"
25,"Business Development Executive","Cyberjaya, Selangor","RAMSSOL GROUP","3750","Full time","2023-11-23","degree","Not Specified","Sales","NA"
26,"Group Chief People Officer","Shah Alam","SIRIM BERHAD","NA","Full time","2023-11-21","c(""degree"", ""master"")","1,001-5,000 employees","Human Resources & Recruitment","4.1"
27,"QA EXECUTIVE","Klang","TECH FOOD INGREDIENTS SDN. BHD.","4166.5","Full time","2023-11-23","c(""diploma"", ""degree"")","Not Specified","Manufacturing, Transport & Logistics","NA"
28,"Admin","Petaling Jaya, Selangor","LAMEX WALL","2900","Full time","2023-11-23","c(""diploma"", ""degree"")","11-50 employees","Administration & Office Support","4.3"
29,"Customer Service Representative","Petaling Jaya, Selangor","LAMEX WALL","2900","Full time","2023-11-23","c(""diploma"", ""degree"")","11-50 employees","Call Centre & Customer Service","4.3"
30,"Telephone Operator / Call Centre Agent","Bandar Sunway, Selangor","Sunway Berhad","NA","Full time","2023-11-23","Not Specified","More than 10,000 employees","Call Centre & Customer Service","4.0"
31,"F & B EXECUTIVE","Ipoh, Perak","Sunway Berhad","NA","Full time","2023-11-22","c(""diploma"", ""degree"")","More than 10,000 employees","Hospitality & Tourism","4.0"
32,"Operation cum Admin Assistant","Puchong, Selangor","Kim Time Sdn Bhd","2500","Full time","2023-11-22","Not Specified","51-100 employees","Administration & Office Support","3.9"
33,"Retail Associate","Kuala Lumpur","Crane Central Sdn Bhd","2650","Full time","2023-11-22","c(""diploma"", ""degree"")","Not Specified","Retail & Consumer Products","NA"
34,"Accountant - Assistant Manager","Kuala Lumpur","WECORPORATE GLOBAL CONSULTANCY SDN. BHD.","4500","Contract/Temp","2023-11-23","Not Specified","Not Specified","Accounting","NA"
35,"Assistant Finance Manager","Kuala Lumpur","Perdana ParkCity Sdn Bhd","6950","Full time","2023-11-23","degree","101-1,000 employees","Accounting","3.4"
36,"Finance Executive (RTR / PTP / OTC) Finance Shared Service","Bangsar South, Kuala Lumpur","Aspial Lifestyle Business Services Sdn. Bhd.","NA","Full time","2023-11-23","degree","Not Specified","Accounting","NA"
37,"Administrative Receptionist","Kuala Lumpur","EDUXPERT GROUP SDN BHD","3000","Full time","2023-11-23","c(""diploma"", ""degree"")","Not Specified","Education & Training","NA"
38,"Administrative Assistant","Puchong, Selangor","UNIQUE REMEDY SDN. BHD.","NA","Full time","2023-11-22","c(""diploma"", ""degree"")","Not Specified","Administration & Office Support","NA"
39,"Production Assistant","Senai, Johor","Private Advertiser","NA","Full time","2023-11-22","Not Specified","1,001-5,000 employees","Manufacturing, Transport & Logistics","3.7"
40,"HRBP Executive (2 vacancies)","Klang, Selangor","Big Pharmacy Healthcare Sdn  Bhd","NA","Full time","2023-11-23","degree","101-1,000 employees","Human Resources & Recruitment","3.3"
41,"Quality Engineer","Kapar, Selangor","NS BlueScope Malaysia Sdn Bhd","4250","Full time","2023-11-22","degree","Not Specified","Manufacturing, Transport & Logistics","NA"
42,"Digital Marketing Executive","Cyberjaya, Selangor","RAMSSOL GROUP","10800","Full time","2023-11-23","Not Specified","51-100 employees","Marketing & Communications","3.1"
43,"Parts Supply & Logistics Admin Assistant (6 Months Contract)","Shah Alam","Isuzu Malaysia Sdn Bhd","NA","Full time","2023-11-23","diploma","101-1,000 employees","Administration & Office Support","3.9"
44,"ACCOUNT CUM ADMIN ASSISTANT (OTHER DEPT - MARKETING, WAREHOUSE, SALES ETC)","Petaling Jaya, Selangor","Saxco Marketing Sdn Bhd","NA","Full time","2023-11-22","c(""diploma"", ""degree"")","Not Specified","Administration & Office Support","NA"
45,"CS Supervisor <U+5BA2><U+670D><U+4E3B><U+7BA1>","Shah Alam","BEST GLOBAL LOGISTICS TECHNOLOGY (MALAYSIA) SDN BHD","5500","Full time","2023-11-22","diploma","Not Specified","Call Centre & Customer Service","NA"
46,"Order Processor","Petaling Jaya, Selangor","Medexp Sdn Bhd","2700","Full time","2023-11-23","Not Specified","Not Specified","Administration & Office Support","NA"
47,"Network Helpdesk Support Engineer - NOC","Kuching, Sarawak","AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD","NA","Full time","2023-11-23","Not Specified","Not Specified","Information & Communication Technology","NA"
48,"Business Analyst","Bukit Jelutong, Selangor","QL Maxincome Sdn Bhd (FamilyMart)","NA","Full time","2023-11-23","Not Specified","1,001-5,000 employees","Information & Communication Technology","4.1"
49,"MIS Support Executive","Kota Kemuning, Selangor","BWY HOLDINGS SDN. BHD.","4200","Full time","2023-11-23","c(""diploma"", ""degree"")","101-1,000 employees","Information & Communication Technology","3.7"
50,"HR & Admin Executive","Johor Bahru, Johor","SMJ Teratai Sdn Bhd","3000","Full time","2023-11-22","degree","101-1,000 employees","Human Resources & Recruitment","3.7"
51,"Manager Branch Management and Operations Audit","Kuala Lumpur","Bank Simpanan Nasional","NA","Full time","2023-11-22","degree","More than 10,000 employees","Banking & Financial Services","4.1"
52,"Senior Accounts & Admin Executive (2 Vacancies)","Shah Alam","Winston's Sdn Bhd","4250","Contract/Temp","2023-11-22","diploma","Not Specified","Accounting","NA"
53,"Admin Executive","Johor Bahru, Johor","MumsMe Sdn Bhd","3650","Full time","2023-11-23","Not Specified","51-100 employees","Administration & Office Support","4.6"
54,"<U+9910><U+5385><U+526F><U+7ECF><U+7406>/<U+89C1><U+4E60><U+7ECF><U+7406> Restaurant Assistant Manager/Trainee Manager","Kuala Lumpur","Pu Tien (Malaysia) Sdn Bhd","5000","Full time","2023-11-23","Not Specified","101-1,000 employees","Hospitality & Tourism","3.3"
55,"Account Manager","Cyberjaya, Selangor","RAMSSOL GROUP","3000","Full time","2023-11-22","degree","Not Specified","Sales","NA"
56,"Electrical Technician","Kapar, Selangor","NS BlueScope Malaysia Sdn Bhd","NA","Full time","2023-11-23","diploma","101-1,000 employees","Engineering","3.3"
57,"System Support Engineer","Kuching, Sarawak","AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD","NA","Full time","2023-11-23","c(""diploma"", ""degree"")","Not Specified","Information & Communication Technology","NA"
58,"  Marketing  Executive","Kuala Lumpur City Centre, Kuala Lumpur","TANG CHINESE EDUCATION & TECHNOLOGY MALAYSIA SDN. BHD.","NA","Full time","2023-11-23","Not Specified","Not Specified","Marketing & Communications","NA"
59,"Maintenance Executive","Senai, Johor","Private Advertiser","NA","Full time","2023-11-23","diploma","Not Specified","Manufacturing, Transport & Logistics","NA"
60,"Network Support Engineer","Kuching, Sarawak","AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD","3100","Full time","2023-11-22","c(""diploma"", ""degree"")","Not Specified","Information & Communication Technology","NA"
61,"EXECUTIVE – SAFETY","Cyberjaya, Selangor","UDA Facility Management","2850","Full time","2023-11-23","c(""diploma"", ""degree"")","Not Specified","Engineering","NA"
62,"Maintenance Supervisor / Maintenance Assistant","Kuala Lumpur","ARENAA STAR HOTEL SDN BHD","4750","Full time","2023-11-23","diploma","Not Specified","Hospitality & Tourism","NA"
63,"Senior Account Executive","Ampang, Selangor","MSF Oil Industry","NA","Full time","2023-11-22","c(""diploma"", ""degree"")","101-1,000 employees","Accounting","3.3"
64,"Process Improvement Engineer","Klang, Selangor","NS BlueScope Malaysia Sdn Bhd","5000","Full time","2023-11-23","degree","Not Specified","Engineering","NA"
